SAT_READING,SAT_MATH,SAT_WRITING,RESULT
440,770,480,0
550,800,600,0
650,800,700,100
590,800,690,100
650,800,710,100
710,800,770,100
570,800,670,0
620,800,670,10
710,800,800,100
590,780,690,0
560,800,700,100
670,800,760,100
510,770,510,0
620,800,750,0
610,800,630,0
620,800,690,0
650,800,630,0
530,800,630,100
550,730,620,0
550,800,650,0
460,730,550,0
500,770,560,0
520,760,540,0
530,790,560,0
600,800,580,100
610,800,580,100
450,800,520,0
460,730,460,0
510,800,540,0
520,780,550,0
550,780,600,0
580,800,590,0
680,800,720,0
410,800,400,0
470,800,490,0
660,800,650,100
660,740,710,100
700,800,730,100
620,800,650,100
640,800,710,100
680,800,700,100
690,800,800,100
710,770,700,100
690,800,790,100
690,800,790,100
560,800,510,0
640,650,680,0
550,800,710,100
680,800,710,100
510,800,540,0
580,780,600,0
650,800,650,0
530,760,490,100
660,800,660,100
410,770,440,0
490,800,530,0
410,670,560,0
430,660,450,0
450,790,450,0
530,780,510,0
570,720,520,0
440,800,440,100
480,780,470,100
530,800,680,100
540,800,640,100
460,760,430,0
540,800,620,0
